bookID,title,authors,average_rating,isbn13,language_code,num_pages,publication_date,publisher
9438,The Basic Works of Aristotle,Aristotle/Richard Peter McKeon/C.D.C. Reeve,4.24,9780375757990,eng,1487,2009,Modern Library/Random House (NY)
31695,Jane and the Wandering Eye (Jane Austen Mysteries  #3),Stephanie Barron,3.86,9780553578171,eng,320,2009,Bantam
31491,The Rainbow,D.H. Lawrence/Daphne Merkin,3.69,9780451530301,eng,544,2009,Signet
12022,A Song Of Stone,Iain Banks,3.17,9780316640169,eng,280,2009,Little Brown
22877,The Gap Into Power: A Dark and Hungry God Arises (Gap  #3),Stephen R. Donaldson,4.08,9780553562606,eng,518,2009,Spectra
31105,This Christmas,Jane Green/Jennifer Coburn/Liz Ireland,3.19,9780821778067,eng,480,2009,Zebra
1078,The Good Earth (House of Earth  #1),Pearl S. Buck,3.98,9781416500186,eng,418,2009,Howard Publishing Co
22727,Under the Duvet,Marian Keyes,3.52,9780141007472,eng,304,2009,Penguin UK
5104,The Handmaid's Tale,Margaret Atwood,4.11,9780435124090,en-GB,308,2009,Heinemann Library
24951,Danny the Champion of the World,Roald Dahl,4.09,9780435122218,eng,208,2009,Heinemann Library
10670,When Genius Failed: The Rise And Fall Of Long Term Capital Management,Roger Lowenstein,4.19,9781841155043,eng,275,2009,Fourth Estate
27826,Eugene Onegin,Alexander Pushkin/Walter W. Arndt,4.09,9780875011066,en-US,244,2009,Harry N. Abrams
42933,Tai-Pan (Asian Saga  #2),James Clavell,4.27,9780440184621,eng,734,2009,Dell
15956,True Believer,Nicholas Sparks,3.8,9780446532433,en-US,322,2009,Warner Books
28664,Warhost of Vastmark (Wars of Light & Shadow  #3; Arc 2 - The Ships of Merior  #2),Janny Wurts,4.04,9780006482079,eng,522,2009,Voyager
15580,In the Shadow of the Warlock Lord (The Sword of Shannara  #1),Terry Brooks,4.06,9780345461469,eng,240,2009,Del Rey
28660,The Curse of the Mistwraith (Wars of Light and Shadow  #1),Janny Wurts,3.76,9780586210697,eng,830,2009,HarperCollins
43933,Tell No One,Harlan Coben,4.11,9780440236702,eng,370,2009,Dell Publishing Company
27252,Pope Joan,Donna Woolfolk Cross,4.08,9780345416261,eng,422,2009,Ballantine Books (NY)
18047,The Adventures of Sally,P.G. Wodehouse,3.78,9781426423703,en-US,232,2008,BiblioLife
